"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"ULTRAUCCB-5","BOTHELL ULTRA UCC B-5","Land","On or below land surface, including most wells","145' N & 285' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7594110001322,-122.206461000248,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",9/22/2017 9:43:04 AM,100071797
"ULTRAUCCB-6","BOTHELL ULTRA UCC B-6","Land","On or below land surface, including most wells","135' N & 370' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7594809995575,-122.206010999655,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",9/22/2017 9:43:04 AM,100071798
"ULTRAUCCB-7","BOTHELL ULTRA UCC B-7","Land","On or below land surface, including most wells","130' N & 415' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7594919998462,-122.205869000849,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",9/22/2017 9:43:04 AM,100071799
"ULTRAUCCB-8","BOTHELL ULTRA UCC B-8","Land","On or below land surface, including most wells","370' N & 50' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7601139997462,-122.207277998424,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",9/22/2017 9:43:04 AM,100071800
"ULTRAUCCB-9","BOTHELL ULTRA UCC B-9","Land","On or below land surface, including most wells","180' N & 300' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7595720006158,-122.206344002198,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",9/22/2017 9:43:05 AM,100071801
"ULTRAUCCB-10","BOTHELL ULTRA UCC B-10","Land","On or below land surface, including most wells","175' N & 30' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7596079987825,-122.207422000176,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","",,"","","","","","","","","","FS379891",9/22/2017 9:43:05 AM,100071802
"ULTRABB-2","BOTHELL ULTRA BB-2","Land","On or below land surface, including most wells","335' N & 92' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7575809996346,-122.207052999186,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",8,"NW","SW","LAND SURFACE",39.294,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:05 AM,100071803
"ULTRABB-3","BOTHELL ULTRA BB-3","Land","On or below land surface, including most wells","618' N & 30' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760747000205,-122.207469000191,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",42.796,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:06 AM,100071804
"ULTRABI-3","BOTHELL ULTRA BI-3","Land","On or below land surface, including most wells","435' N & 20' W OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7602499912327,-122.207581001483,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",39.55,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional","","","","","","FS379891",9/22/2017 9:43:06 AM,100071805
"ULTRAHWAINJ2","BOTHELL ULTRA HWA INJ-2","Land","On or below land surface, including most wells","685' N & 55' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609610000453,-122.20721900083,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",43,"FT","NAVD88","+/- 10 ft (3 m)","Paper map interpolation","","","","","","FS379891",9/22/2017 9:43:32 AM,100071806
"ULTRAHWAINJ9","BOTHELL ULTRA HWA INJ-9","Land","On or below land surface, including most wells","685' N & 65' E OF INTERSECTION OF BOTHELL WAY NE AND WOODENVILLE DRIVE",379891,"Y","18304 Bothell Way NE","BOTHELL","WA","98011","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7609469989009,-122.207225002238,"Discrete monitoring point","+/- 10 ft (3 m)","Computer map - GIS-based","",26,"N",5,"E",7,"NE","NE","LAND SURFACE",43,"FT","NAVD88","+/- 10 ft (3 m)","Paper map interpolation","","","","","","FS379891",9/22/2017 9:43:55 AM,100071807
"ULTRAUCCMW-28D","UCCMW-28D","Land","On or below land surface, including most wells","East of the northern portion of the Ranch Drive-In Property",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7607218662718,-122.206827746566,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",8,"NW","NW","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:20 AM,100116429
"ULTRAUCCMW-29","UCCMW-29","Land","On or below land surface, including most wells","Southeast corner of Ranch Drive-In property",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7604605193836,-122.207059120975,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:20 AM,100116430
"ULTRAUCCMW-29D","UCCMW-29D","Land","On or below land surface, including most wells","Southeast corner of Ranch Drive-In property",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.760469740961,-122.20704472598,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:21 AM,100116431
"ULTRAUCCMW-30D","UCCMW-30D","Land","On or below land surface, including most wells","East of the southern portion of the Speedy Glass property",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7601305805193,-122.206724666444,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",8,"NW","NW","",,"","","","","","","","","","FS379891",7/19/2021 11:49:21 AM,100116432
"ULTRAUCCMW-31D","UCCMW-31D","Land","On or below land surface, including most wells","Northeast of the northwest corner of City Lot E, F, G",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7598937908489,-122.207034356829,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:22 AM,100116433
"ULTRAUCCMW-32","UCCMW-32","Land","On or below land surface, including most wells","West of the northwest corner of City Lot E, F, G",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7597515170761,-122.207487243912,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:23 AM,100116434
"ULTRAUCCMW-32D","UCCMW-32D","Land","On or below land surface, including most wells","West of the northwest corner of City Lot E, F, G",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7597427310808,-122.207488231133,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:23 AM,100116435
"ULTRAUCCMW-33D","UCCMW-33D","Land","On or below land surface, including most wells","West central portion of City Lot E, F, G",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7594824500474,-122.207175547986,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:24 AM,100116436
"ULTRAUCCMW-34D","UCCMW-34D","Land","On or below land surface, including most wells","East central portion of City Lot E, F, G",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7595869599017,-122.206716376565,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",8,"NW","NW","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:24 AM,100116437
"ULTRAUCCMW-35D","UCCMW-35D","Land","On or below land surface, including most wells","Middle of Bothell Way NE ~100 ft south of Main Street",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7596288940996,-122.2078564754,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:25 AM,100116438
"ULTRAUCCMW-36D","UCCMW-36D","Land","On or below land surface, including most wells","Central portion of Speedy Glass property",379891,"Y","","","WA","","King","Cedar-Sammamish","Northwest Regional Office",1,1,"",,,47.7601971064158,-122.207257093797,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",26,"N",5,"E",7,"NE","NE","Top of Well Casing",,"","","","","","","","","","FS379891",7/19/2021 11:49:26 AM,100116439
